EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,TRIG
191562.7,209408.1,235190.6,271559.6,176204.7,367779.5,175502.4,202236.9,0.0
191054.9,209427.5,234731.0,271025.4,176033.7,367680.8,175184.8,201865.0,0.0
189864.3,208366.4,233396.1,269308.1,174570.7,366737.3,174486.8,199737.4,0.0
189645.1,207571.4,232621.4,268454.4,173694.2,366161.8,174359.4,198568.0,0.0
191008.7,208513.7,233487.3,269899.9,175074.5,367045.4,175155.7,200584.0,0.0
191569.0,209483.5,234062.8,270890.6,176316.4,367835.4,175515.3,202278.5,0.0
191047.3,209484.5,233599.1,270347.8,176135.6,367724.0,175179.1,201899.7,0.0
189856.1,208422.4,232275.2,268635.4,174676.9,366780.6,174478.2,199774.2,0.0
189642.9,207636.5,231524.7,267795.6,173810.6,366215.2,174363.1,198613.0,0.0
191004.5,208573.4,232403.6,269243.5,175182.3,367091.8,175161.2,200623.8,0.0
191563.8,209536.0,232995.3,270240.8,176419.7,367876.8,175521.5,202314.9,0.0
191041.9,209539.5,232548.6,269708.1,176247.8,367770.9,175184.0,201941.2,0.0
189873.3,208503.1,231258.8,268030.9,174830.3,366856.3,174490.6,199858.9,0.0
189670.3,207747.3,230533.4,267217.3,174003.6,366318.1,174369.5,198739.0,0.0
191060.0,208733.8,231456.3,268704.6,175430.6,367246.7,175192.2,200793.3,0.0
191638.6,209726.2,232074.9,269720.5,176694.5,368059.2,175569.8,202493.7,0.0
191106.0,209722.2,231628.3,269177.7,176512.2,367947.7,175227.2,202089.8,0.0
189894.7,208634.6,230307.0,267448.3,175033.3,366989.4,174511.5,199924.7,0.0
189662.4,207818.8,229551.8,266584.1,174137.0,366403.8,174370.5,198715.3,0.0
191028.8,208750.3,230447.3,268034.3,175496.3,367279.2,175167.1,200702.6,0.0
191589.6,209709.3,231054.5,269038.5,176731.0,368065.8,175536.3,202378.3,0.0
191066.4,209718.9,230622.1,268517.1,176569.0,367968.8,175213.1,201996.4,0.0
189865.9,208651.7,229311.4,266811.5,175116.8,367032.5,174516.1,199856.5,0.0
189637.7,207835.0,228554.7,265958.4,174228.5,366451.9,174390.5,198652.8,0.0
191017.9,208776.6,229455.8,267422.2,175600.9,367333.4,175188.6,200647.6,0.0
191591.8,209749.0,230078.0,268445.6,176847.7,368128.6,175551.6,202341.4,0.0
191072.0,209755.4,229655.4,267931.2,176680.2,368032.8,175218.7,201964.5,0.0
189866.5,208672.6,228350.2,266222.8,175215.7,367088.4,174498.4,199821.8,0.0
189641.7,207863.3,227609.3,265376.7,174334.3,366516.9,174359.1,198632.2,0.0
191015.0,208802.4,228515.2,266839.3,175704.1,367396.5,175154.4,200633.7,0.0
191585.6,209770.3,229141.4,267864.0,176948.0,368188.1,175518.7,202332.3,0.0
