EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,TRIG
203365.4,189846.5,197028.7,218768.0,206792.6,170209.7,161756.7,180673.0,0.0
201491.5,189121.1,196121.5,217933.6,205445.5,169992.4,161330.4,179718.0,0.0
200811.6,188929.7,195952.5,217889.2,204842.4,170057.7,161434.4,179740.5,0.0
202587.2,189635.0,196780.7,218722.0,206064.7,170319.8,161951.7,180817.0,0.0
203777.3,190049.7,197123.3,218989.1,207034.9,170361.4,162052.9,181187.0,0.0
203376.8,189855.4,196733.7,218550.4,206830.4,170219.5,161772.1,180683.7,0.0
201492.4,189116.5,195815.7,217706.5,205484.1,169994.1,161337.4,179717.3,0.0
200799.8,188917.3,195633.6,217649.8,204865.9,170048.1,161429.9,179727.1,0.0
202590.7,189637.9,196469.5,218486.9,206091.0,170317.4,161951.6,180810.5,0.0
203788.5,190051.7,196817.7,218758.2,207068.7,170362.6,162050.9,181183.8,0.0
203377.0,189844.8,196426.9,218320.1,206853.7,170218.2,161764.3,180676.0,0.0
201500.3,189118.9,195521.4,217484.3,205508.3,169994.2,161336.4,179712.9,0.0
200805.3,188922.7,195348.1,217433.0,204893.1,170055.5,161430.8,179724.7,0.0
202576.1,189626.8,196178.0,218259.4,206106.3,170314.6,161945.9,180800.0,0.0
203772.6,190040.5,196532.4,218531.6,207085.3,170357.1,162050.0,181177.7,0.0
203370.1,189836.0,196144.1,218095.0,206874.6,170208.4,161762.6,180673.0,0.0
201505.8,189122.5,195255.5,217276.0,205546.0,170002.1,161344.7,179727.2,0.0
200804.1,188924.5,195089.4,217225.7,204935.7,170065.8,161444.9,179741.9,0.0
202564.9,189620.9,195914.8,218048.1,206138.6,170319.9,161955.1,180811.6,0.0
203773.4,190045.0,196280.3,218330.5,207123.4,170368.9,162066.0,181196.7,0.0
203376.8,189847.0,195903.2,217899.8,206920.1,170226.1,161779.6,180696.2,0.0
201501.3,189118.5,195003.1,217067.0,205575.3,170004.6,161345.3,179732.4,0.0
200782.3,188904.0,194819.1,217000.1,204941.8,170055.6,161429.9,179730.0,0.0
202560.6,189621.4,195662.5,217841.4,206157.2,170326.8,161955.0,180816.0,0.0
203778.7,190054.2,196036.1,218135.3,207152.0,170386.9,162074.1,181210.3,0.0
203381.8,189848.7,195654.2,217700.7,206948.3,170236.5,161785.0,180705.7,0.0
