EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,TRIG
193176.8,200321.8,274793.9,712268.6,197847.0,184258.0,220781.8,194105.3,0.0
193154.8,200287.4,274540.8,712268.1,197776.6,184221.8,220719.5,194015.8,0.0
193203.7,200317.2,274374.8,712274.4,197795.3,184244.2,220734.9,194048.2,0.0
193273.1,200385.6,274262.9,712282.3,197885.5,184309.0,220811.0,194168.5,0.0
193276.3,200405.9,274089.1,712283.8,197917.0,184332.7,220838.4,194210.4,0.0
193229.3,200380.6,273849.8,712281.4,197872.8,184310.4,220801.4,194143.2,0.0
193173.1,200320.4,273577.3,712273.1,197775.4,184248.8,220714.3,194031.6,0.0
193210.3,200341.4,273407.5,712276.9,197783.4,184262.5,220719.9,194056.3,0.0
193255.0,200380.0,273277.3,712275.8,197841.3,184296.8,220766.0,194149.4,0.0
193246.8,200383.5,273109.7,712276.3,197868.9,184313.0,220787.0,194190.0,0.0
193189.6,200342.2,272866.9,712271.1,197808.1,184274.3,220734.0,194109.4,0.0
193148.9,200290.5,272608.5,712264.3,197715.3,184214.5,220652.2,194000.2,0.0
193185.0,200302.8,272443.3,712265.3,197717.7,184219.2,220650.0,194016.6,0.0
193257.4,200375.4,272357.1,712275.0,197814.4,184291.1,220734.1,194144.9,0.0
193249.0,200380.4,272193.3,712274.1,197839.6,184308.6,220755.0,194179.3,0.0
193192.8,200332.5,271956.5,712268.6,197778.3,184270.3,220702.3,194096.4,0.0
193160.0,200294.0,271722.4,712264.7,197701.9,184223.4,220636.0,194003.1,0.0
193199.0,200316.2,271600.4,712266.6,197716.1,184236.6,220642.9,194029.9,0.0
193254.1,200361.8,271535.5,712270.9,197785.5,184281.7,220695.9,194129.2,0.0
193262.1,200381.9,271388.0,712272.4,197816.9,184304.8,220723.6,194172.0,0.0
193220.9,200354.7,271169.6,712273.3,197769.9,184282.0,220686.7,194105.3,0.0
193190.8,200317.0,270938.9,712269.5,197693.4,184239.5,220619.7,194010.9,0.0
193224.9,200332.7,270786.4,712269.9,197699.4,184245.7,220619.1,194027.3,0.0
193279.2,200379.0,270690.2,712274.5,197770.9,184291.4,220675.9,194128.4,0.0
193278.5,200393.6,270547.8,712276.0,197797.8,184309.6,220698.7,194167.6,0.0
193200.6,200340.6,270310.8,712266.2,197719.3,184257.2,220631.3,194071.3,0.0
193161.8,200291.5,270082.0,712263.5,197635.6,184209.9,220560.6,193972.9,0.0
193202.9,200310.2,269947.7,712265.8,197648.7,184226.2,220569.6,193997.8,0.0
193260.1,200369.8,269865.4,712269.8,197726.3,184277.9,220632.7,194103.2,0.0
193250.4,200373.1,269723.1,712268.3,197749.9,184289.7,220651.6,194137.6,0.0
193189.4,200322.0,269504.4,712263.1,197685.9,184245.8,220596.7,194053.9,0.0
193162.4,200289.2,269300.1,712262.1,197618.6,184209.8,220539.3,193968.7,0.0
193215.5,200326.5,269186.9,712269.4,197646.4,184238.5,220560.6,194008.3,0.0
193274.0,200377.9,269110.0,712273.3,197723.6,184289.9,220625.2,194116.1,0.0
193259.3,200380.4,268971.7,712270.9,197743.8,184301.4,220645.5,194148.4,0.0
