EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,TRIG
196114.9,218647.5,712039.4,414742.3,712016.0,178845.3,712530.9,189309.1,0.0
196008.5,218603.5,712041.9,414692.0,712018.5,178785.4,712533.3,189163.7,0.0
196325.1,218861.0,712052.3,414883.2,712029.2,179030.6,712544.1,189429.4,0.0
196633.8,219071.8,712056.9,415033.8,712033.9,179247.4,712548.4,189748.2,0.0
196512.2,218944.8,712047.8,414911.7,712024.3,179134.1,712539.1,189673.4,0.0
196121.0,218646.9,712034.8,414659.1,712011.6,178840.2,712526.4,189298.5,0.0
196016.0,218598.5,712035.3,414610.3,712012.0,178776.2,712527.0,189146.2,0.0
196339.0,218856.6,712045.6,414808.7,712022.2,179020.6,712537.3,189421.1,0.0
196650.7,219068.4,712052.1,414971.2,712028.7,179241.8,712543.6,189748.5,0.0
196525.8,218944.8,712041.5,414853.3,712018.1,179132.6,712533.1,189676.1,0.0
196135.9,218652.9,712028.9,414600.4,712005.3,178844.0,712520.2,189306.9,0.0
196031.2,218606.9,712031.5,414550.1,712007.8,178782.8,712523.4,189162.9,0.0
196350.8,218863.5,712045.8,414743.0,712021.8,179027.7,712537.4,189439.5,0.0
196655.6,219072.7,712051.0,414892.5,712026.8,179241.7,712542.6,189758.5,0.0
196525.1,218944.1,712040.7,414767.8,712016.9,179132.5,712532.7,189683.0,0.0
196140.5,218659.9,712028.9,414521.4,712005.4,178853.8,712521.1,189319.8,0.0
196033.9,218614.4,712032.1,414472.8,712008.8,178796.6,712524.1,189172.7,0.0
196355.3,218871.8,712045.2,414667.6,712021.6,179041.7,712537.0,189446.3,0.0
196668.6,219082.3,712051.4,414824.2,712027.8,179257.9,712543.0,189770.3,0.0
196547.5,218960.2,712043.4,414708.1,712019.9,179145.2,712534.9,189696.8,0.0
196158.4,218668.9,712029.9,414457.3,712006.6,178853.8,712521.6,189324.6,0.0
196043.4,218612.9,712030.3,414399.9,712006.9,178788.0,712522.1,189173.4,0.0
196363.6,218874.4,712043.8,414600.2,712020.3,179038.0,712535.4,189451.1,0.0
196678.7,219089.7,712053.2,414758.1,712030.3,179260.4,712544.9,189778.8,0.0
196545.0,218955.7,712044.6,414628.9,712021.3,179145.3,712536.3,189698.2,0.0
196156.5,218669.5,712035.1,414376.2,712011.2,178864.0,712526.6,189331.6,0.0
196035.5,218611.6,712035.1,414316.3,712011.6,178798.6,712526.6,189177.0,0.0
196346.7,218861.0,712041.5,414506.1,712018.1,179035.2,712532.9,189441.1,0.0
196660.0,219075.4,712046.4,414661.3,712022.8,179251.3,712537.5,189763.2,0.0
196532.5,218949.5,712038.2,414538.9,712014.8,179140.7,712529.8,189687.0,0.0
196139.7,218657.6,712028.2,414286.8,712004.7,178851.4,712519.9,189313.9,0.0
196022.8,218602.5,712025.8,414227.6,712002.2,178779.6,712517.3,189158.4,0.0
196342.0,218854.7,712036.3,414421.1,712012.4,179018.3,712527.9,189431.4,0.0
