EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,TRIG
207403.4,215257.1,218256.1,237948.9,685099.9,185024.7,180051.3,200289.6,0.0
208073.0,215586.2,218616.1,238470.2,685387.4,185353.5,180451.7,200976.5,0.0
209213.0,216223.0,219297.3,239230.6,686465.4,185985.6,181022.5,202444.3,0.0
209306.0,216311.8,219267.7,239134.7,686860.1,186065.5,181010.6,202668.9,0.0
208417.1,215829.4,218566.5,238343.3,686098.3,185578.2,180509.1,201593.7,0.0
207386.5,215240.1,217787.7,237589.5,685065.3,185011.0,180036.3,200279.2,0.0
208057.6,215573.5,218156.3,238117.9,685369.3,185342.7,180438.0,200963.2,0.0
209205.3,216216.8,218844.9,238887.2,686441.3,185977.3,181012.0,202436.3,0.0
209304.5,216310.0,218820.4,238799.9,686837.8,186058.9,181002.8,202667.8,0.0
208424.0,215833.0,218135.3,238024.3,686093.7,185585.7,180516.8,201601.8,0.0
207379.8,215230.6,217346.0,237255.8,685053.6,185003.4,180027.9,200265.9,0.0
208034.8,215548.4,217708.5,237770.5,685339.1,185322.2,180418.9,200934.6,0.0
209184.6,216196.5,218405.3,238543.7,686407.4,185958.5,180998.0,202407.3,0.0
209286.6,216294.2,218391.0,238461.3,686805.6,186044.0,180994.1,202644.9,0.0
208402.7,215817.4,217702.3,237678.3,686054.9,185562.9,180498.9,201573.6,0.0
207371.8,215229.6,216933.2,236925.8,685046.9,184997.2,180027.6,200253.0,0.0
208053.8,215574.0,217324.8,237474.4,685351.1,185340.1,180443.8,200944.5,0.0
209199.3,216208.9,218022.1,238250.3,686403.7,185973.5,181017.2,202415.1,0.0
209274.3,216274.9,217985.1,238140.1,686770.7,186029.1,180982.9,202622.7,0.0
208399.1,215804.6,217306.8,237367.0,686028.4,185554.6,180492.2,201561.7,0.0
207375.5,215221.8,216549.1,236628.5,685053.9,184996.6,180031.3,200252.6,0.0
208037.2,215548.1,216923.9,237155.7,685344.8,185319.0,180428.3,200927.3,0.0
209187.8,216192.0,217627.9,237933.3,686393.8,185954.2,181005.8,202403.7,0.0
209280.2,216274.6,217608.8,237846.1,686774.3,186022.8,180988.2,202629.8,0.0
208411.8,215810.9,216938.5,237080.5,686043.8,185552.9,180503.3,201575.3,0.0
207378.1,215220.6,216172.9,236333.0,685062.1,184983.1,180031.2,200253.9,0.0
208043.3,215552.3,216551.3,236864.4,685333.6,185310.4,180433.1,200928.2,0.0
209185.3,216184.7,217248.6,237634.4,686378.3,185940.1,181004.4,202397.6,0.0
209286.5,216276.3,217242.5,237555.0,686779.8,186020.4,180996.8,202634.1,0.0
208410.3,215805.8,216568.4,236784.0,686045.1,185544.0,180505.4,201573.1,0.0
207370.9,215207.4,215798.1,236029.0,685045.9,184966.3,180022.1,200240.7,0.0
208029.3,215533.4,216180.3,236563.3,685324.4,185292.9,180420.1,200908.8,0.0
209184.6,216178.8,216893.6,237351.8,686381.3,185933.7,181001.0,202391.3,0.0
209299.8,216280.2,216901.0,237287.6,686788.5,186024.3,181003.5,202640.9,0.0
208427.4,215808.1,216236.7,236523.8,686052.4,185552.3,180516.4,201582.2,0.0
207382.5,215209.3,215469.0,235768.8,685041.6,184973.5,180035.8,200247.9,0.0
208042.7,215543.3,215854.0,236303.9,685337.9,185302.0,180436.0,200919.4,0.0
209189.2,216182.4,216560.6,237087.0,686391.8,185937.6,181006.8,202392.9,0.0
209293.7,216272.9,216560.6,237014.7,686793.6,186021.4,180998.2,202635.8,0.0
208421.4,215801.9,215896.6,236251.0,686059.8,185546.6,180508.5,201578.2,0.0
207380.3,215210.1,215133.9,235499.9,685023.7,184974.9,180032.4,200248.3,0.0
208028.6,215526.3,215510.9,236023.3,685301.5,185290.5,180422.1,200903.1,0.0
209182.8,216170.2,216228.3,236810.8,686370.9,185925.5,180998.9,202383.6,0.0
