EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,TRIG
249828.2,285200.9,709353.9,696624.9,709313.7,233852.0,677591.8,594891.9,0.0
248899.7,284876.2,709435.8,693899.6,709396.7,233735.7,677196.8,593732.4,0.0
254403.8,288799.6,709867.6,696444.2,709836.0,237425.7,681112.7,598466.0,0.0
257477.6,290635.1,709959.2,696990.3,709932.6,239105.9,683113.4,601491.8,0.0
254600.1,288199.2,709654.3,692640.0,709625.8,236876.6,681034.8,599193.4,0.0
249610.2,284628.4,709345.0,686601.4,709310.6,233700.4,677575.6,594648.9,0.0
248671.6,284295.6,709430.6,683964.7,709395.5,233582.5,677178.4,593484.3,0.0
254199.2,288247.8,709865.8,686582.7,709838.9,237293.1,681115.9,598233.2,0.0
257289.9,290098.7,709955.1,687199.3,709933.6,238983.0,683114.6,601269.3,0.0
254411.5,287658.1,709647.4,683145.1,709623.3,236743.8,681035.6,598971.7,0.0
249398.1,284064.1,709338.8,677646.1,709305.4,233542.5,677559.6,594407.8,0.0
248450.8,283725.5,709422.3,675391.1,709387.0,233414.2,677147.0,593226.9,0.0
253947.3,287648.4,709849.3,678347.3,709822.9,237106.3,681059.5,597949.8,0.0
257034.5,289495.0,709938.6,679312.1,709917.8,238792.4,683063.0,600981.1,0.0
254172.5,287067.8,709636.4,675397.0,709610.8,236565.4,680989.4,598694.1,0.0
249168.7,283480.7,709330.5,669755.6,709295.9,233370.5,677515.8,594135.1,0.0
248234.1,283157.2,709417.1,667514.8,709380.6,233255.1,677112.9,592962.5,0.0
253749.3,287104.0,709847.0,670513.8,709820.4,236965.3,681045.5,597700.1,0.0
256833.6,288953.0,709939.0,671509.9,709917.6,238659.3,683065.7,600735.3,0.0
253963.6,286518.3,709637.0,667615.0,709610.5,236426.4,680977.9,598443.5,0.0
248959.2,282934.4,709331.1,662001.6,709294.8,233227.3,677496.7,593883.3,0.0
248018.6,282605.9,709417.4,659787.8,709378.6,233108.9,677088.1,592707.6,0.0
253541.8,286561.8,709847.6,662825.6,709819.2,236829.3,681029.6,597454.3,0.0
256646.7,288431.3,709937.6,663866.1,709915.1,238534.9,683064.1,600505.9,0.0
253782.9,286006.0,709635.8,660010.3,709607.1,236305.9,680980.3,598219.4,0.0
248763.8,282404.4,709330.1,654419.6,709291.6,233099.1,677487.9,593650.6,0.0
247825.4,282079.8,709416.8,652235.9,709376.0,232979.3,677076.7,592473.3,0.0
253341.0,286033.7,709842.2,655293.6,709811.6,236689.4,681008.1,597207.0,0.0
256431.6,287892.7,709932.5,656355.3,709907.4,238387.0,683043.1,600245.7,0.0
253575.7,285473.3,709632.0,652541.1,709600.9,236166.2,680963.6,597966.9,0.0
248582.5,281897.8,709330.5,647002.5,709289.4,232976.5,677488.0,593416.1,0.0
247647.6,281577.4,709416.6,644853.3,709373.5,232855.0,677077.9,592238.4,0.0
253169.5,285541.1,709846.4,647955.6,709813.4,236572.6,681021.1,596983.1,0.0
256267.5,287413.0,709937.6,649060.6,709910.1,238279.3,683051.6,600028.5,0.0
253406.3,284987.7,709636.4,645272.6,709602.9,236049.9,680964.6,597741.4,0.0
248405.1,281401.6,709331.9,639762.2,709288.8,232849.8,677482.8,593180.8,0.0
247477.3,281088.5,709418.9,637657.4,709373.7,232739.3,677081.3,592010.9,0.0
252994.3,285052.1,709847.3,640791.1,709811.9,236459.1,681022.4,596750.8,0.0
256087.9,286922.8,709937.8,641926.3,709907.9,238160.3,683049.3,599793.4,0.0
253228.6,284499.5,709637.9,638176.7,709602.0,235931.1,680962.0,597510.4,0.0
248230.4,280917.9,709335.3,632702.4,709288.8,232733.2,677476.4,592951.5,0.0
247310.4,280614.8,709425.0,630638.3,709376.3,232628.0,677075.6,591787.8,0.0
252831.7,284586.5,709853.0,633811.1,709814.6,236355.0,681020.1,596532.1,0.0
255920.9,286455.1,709941.3,634981.0,709908.3,238056.5,683059.0,599571.8,0.0
253062.6,284032.2,709640.2,631267.6,709601.5,235825.5,680971.6,597288.3,0.0
248061.5,280450.2,709333.2,625828.6,709284.3,232622.1,677483.6,592726.3,0.0
247126.1,280136.6,709419.1,623790.6,709368.3,232510.7,677077.4,591551.3,0.0
252645.4,284107.7,709851.0,626999.8,709810.6,236239.7,681020.4,596295.3,0.0
255753.0,285994.4,709944.1,628220.7,709909.3,237954.0,683058.9,599348.9,0.0
252899.2,283576.7,709641.6,624545.6,709601.3,235725.9,680976.4,597066.1,0.0
247900.2,279994.8,709335.6,619140.5,709284.6,232523.8,677487.5,592503.3,0.0
246976.0,279693.7,709424.1,617141.0,709370.6,232414.3,677084.8,591333.1,0.0
252489.3,283661.9,709853.3,620380.0,709809.9,236136.5,681024.3,596074.0,0.0
255588.7,285541.2,709944.8,621627.6,709907.7,237844.8,683053.9,599121.8,0.0
252737.7,283123.8,709643.7,617990.6,709600.4,235617.9,680968.6,596843.1,0.0
247745.8,279549.6,709338.8,612621.1,709285.4,232417.6,677483.8,592283.4,0.0
246809.5,279239.7,709426.4,610644.1,709371.0,232300.5,677070.9,591102.1,0.0
252326.9,283213.9,709854.7,613917.8,709809.9,236024.2,681009.9,595842.4,0.0
255427.1,285096.3,709945.7,615201.4,709906.3,237735.0,683041.6,598892.6,0.0
252569.6,282676.5,709643.6,611594.6,709598.2,235506.9,680954.6,596610.6,0.0
247570.9,279097.2,709337.9,606254.2,709282.2,232307.0,677461.5,592045.7,0.0
246656.9,278805.8,709426.4,604327.4,709368.8,232207.2,677060.6,590883.3,0.0
252188.4,282796.4,709858.2,607647.3,709810.6,235943.9,681013.3,595641.3,0.0
255274.7,284666.8,709946.3,608951.3,709904.5,237642.9,683046.1,598680.3,0.0
252433.6,282260.8,709644.9,605381.4,709597.2,235416.5,680958.8,596402.4,0.0
247449.0,278690.3,709340.6,600087.9,709282.6,232223.9,677476.9,591852.6,0.0
246515.0,278380.5,709426.8,598179.6,709366.6,232110.6,677063.9,590674.9,0.0
252048.8,282377.1,709858.4,601534.4,709808.6,235851.7,681018.4,595433.3,0.0
255157.8,284270.8,709951.7,602889.3,709908.1,237568.1,683069.2,598489.8,0.0
252313.1,281858.9,709652.2,599352.9,709602.8,235344.9,680983.1,596213.8,0.0
247329.0,278291.3,709346.3,594084.4,709286.1,232149.6,677494.2,591657.8,0.0
246394.9,277984.4,709431.3,592209.4,709368.5,232037.3,677082.8,590482.8,0.0
251910.0,281964.2,709859.1,595579.3,709806.9,235760.0,681019.5,595224.8,0.0
254998.5,283842.6,709950.0,596951.4,709904.3,237465.0,683041.9,598267.8,0.0
252140.2,281424.9,709650.3,593432.3,709598.3,235230.5,680943.8,595974.5,0.0
247181.0,277877.3,709347.5,588214.2,709285.4,232049.2,677471.9,591436.6,0.0
246252.0,277572.3,709432.0,586369.4,709367.9,231937.5,677061.8,590263.8,0.0
251776.8,281560.3,709863.2,589780.7,709809.6,235674.8,681014.8,595016.3,0.0
254882.6,283452.8,709953.8,591194.1,709906.0,237390.6,683064.9,598072.0,0.0
252041.4,281048.7,709651.8,587717.8,709598.0,235167.2,680978.6,595798.6,0.0
247067.3,277491.2,709348.8,582514.9,709284.3,231977.3,677495.0,591251.3,0.0
246137.4,277193.3,709434.8,580698.9,709367.9,231865.9,677081.3,590077.5,0.0
251652.8,281178.3,709865.9,584138.0,709809.8,235598.6,681028.3,594826.7,0.0
254753.5,283067.9,709959.3,585581.1,709909.4,237312.5,683061.5,597880.7,0.0
251928.1,280679.1,709659.1,582143.9,709603.2,235097.2,680984.6,595616.3,0.0
246952.0,277121.4,709353.8,576968.3,709287.3,231906.0,677504.5,591066.3,0.0
246006.7,276813.7,709438.1,575169.1,709369.1,231785.4,677083.1,589879.0,0.0
251513.5,280793.7,709869.6,578628.5,709811.0,235511.4,681019.0,594619.8,0.0
254625.1,282692.2,709964.1,580107.9,709911.3,237235.7,683059.9,597683.9,0.0
251789.2,280292.1,709663.1,576692.4,709604.7,235017.4,680979.8,595414.2,0.0
246814.1,276739.5,709357.1,571541.8,709288.6,231827.7,677494.8,590860.6,0.0
245879.0,276439.9,709443.8,569775.9,709372.3,231716.2,677078.1,589679.8,0.0
