EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
375274.700,407890.500,750000.100,750000.100,750000.100,338382.200,750000.100,366259.100,0.000
338967.900,369212.100,750000.100,750000.100,750000.100,306812.500,750000.100,332213.500,0.000
324447.800,353957.900,750000.100,750000.100,750000.100,294514.900,750000.100,318805.900,0.000
313219.700,342096.900,750000.100,750000.100,750000.100,284962.000,750000.100,308370.800,0.000
303108.000,331506.300,750000.100,720163.100,750000.100,276347.400,750000.100,298876.100,0.000
293714.700,321859.900,750000.100,682196.800,750000.100,268407.600,750000.100,289928.000,0.000
285490.600,313442.600,750000.100,650317.400,750000.100,261457.900,750000.100,281970.300,0.000
278719.900,306360.200,750000.100,623414.900,750000.100,255658.900,750000.100,275348.600,0.000
272925.300,300154.300,750000.100,600282.300,750000.100,250612.900,750000.100,269702.100,0.000
267325.200,294228.400,750000.100,579831.600,750000.100,245749.900,750000.100,264278.600,0.000
261736.200,288482.300,750000.100,561531.600,750000.100,240980.100,750000.100,258844.000,0.000
256706.900,283324.400,750000.100,545349.300,750000.100,236689.300,750000.100,253874.900,0.000
252621.500,278993.000,750000.100,531181.100,750000.100,233124.500,750000.100,249788.800,0.000
249122.200,275150.300,750000.100,518560.800,750000.100,230007.500,750000.100,246333.800,0.000
245549.100,271308.600,750000.100,506918.400,750000.100,226853.900,750000.100,242863.300,0.000
241771.000,267416.600,750000.100,496071.000,750000.100,223598.100,750000.100,239179.500,0.000
238353.900,263908.600,750000.100,486267.500,750000.100,220664.500,750000.100,235780.700,0.000
235669.700,261023.600,750000.100,477587.900,750000.100,218295.100,750000.100,233073.600,0.000
233404.300,258464.700,750000.100,469723.700,750000.100,216228.600,750000.100,230834.200,0.000
230951.600,255786.500,750000.100,462250.600,750000.100,214029.900,750000.100,228469.300,0.000
228217.800,252969.600,750000.100,455092.800,750000.100,211663.300,750000.100,225813.300,0.000
225719.200,250410.700,750000.100,448536.700,750000.100,209513.600,750000.100,223329.000,0.000
223856.600,248386.700,750000.100,442741.900,750000.100,207853.400,750000.100,221442.000,0.000
222352.000,246631.700,750000.100,437465.800,750000.100,206445.500,750000.100,219949.000,0.000
220613.600,244698.900,750000.100,432327.800,750000.100,204862.600,750000.100,218278.600,0.000
218546.300,242576.600,750000.100,427290.000,750000.100,203072.300,750000.100,216278.000,0.000
216660.300,240663.800,750000.100,422649.300,750000.100,201451.600,750000.100,214392.900,0.000
215330.800,239203.300,750000.100,418572.400,750000.100,200248.700,750000.100,213027.400,0.000
214315.500,237969.900,750000.100,414861.300,750000.100,199266.100,750000.100,212014.100,0.000
213058.500,236552.400,750000.100,411176.700,750000.100,198107.000,750000.100,210816.900,0.000
211449.200,234914.300,750000.100,407470.400,750000.100,196722.300,750000.100,209269.000,0.000
209981.500,233444.300,750000.100,404053.800,750000.100,195474.600,750000.100,207807.400,0.000
209023.800,232388.500,750000.100,401100.200,750000.100,194610.500,750000.100,206822.000,0.000
208353.900,231533.100,750000.100,398422.800,750000.100,193940.600,750000.100,206156.000,0.000
207429.200,230471.300,750000.100,395694.800,750000.100,193076.100,750000.100,205285.900,0.000
206136.100,229169.000,750000.100,392884.900,750000.100,191970.600,750000.100,204052.400,0.000
204970.100,228019.000,750000.100,390296.200,750000.100,190985.000,750000.100,202880.300,0.000
204287.000,227251.900,750000.100,388103.500,750000.100,190362.300,750000.100,202158.400,0.000
203861.200,226657.200,750000.100,386130.500,750000.100,189911.300,750000.100,201733.100,0.000
203176.100,225851.500,750000.100,384071.200,750000.100,189258.000,750000.100,201102.800,0.000
202114.200,224793.500,750000.100,381881.400,750000.100,188347.600,750000.100,200093.900,0.000
201165.200,223874.000,750000.100,379869.600,750000.100,187540.700,750000.100,199127.100,0.000
200678.900,223320.100,750000.100,378213.600,750000.100,187085.500,750000.100,198593.400,0.000
200430.200,222920.100,750000.100,376739.600,750000.100,186789.300,750000.100,198338.600,0.000
199921.100,222305.400,750000.100,375156.000,749980.100,186295.800,750000.100,197878.300,0.000
199044.600,221445.000,748030.300,373431.900,747984.900,185560.100,748354.300,197052.700,0.000
198272.600,220716.800,746146.100,371860.300,746100.900,184924.400,746463.800,196267.000,0.000
197942.000,220335.200,744370.400,370610.600,744325.900,184618.600,744687.800,195894.800,0.000
197838.000,220090.500,742683.800,369516.900,742639.300,184461.200,743005.900,195786.900,0.000
197456.500,219615.300,741069.300,368279.000,741025.100,184083.300,741393.400,195451.400,0.000
196704.900,218892.800,739527.900,366882.300,739484.800,183455.100,739848.300,194746.600,0.000
196037.200,218280.900,738072.800,365608.500,738029.700,182913.500,738385.100,194068.000,0.000
195806.600,218011.700,736707.100,364643.400,736663.800,182698.800,737018.600,193798.800,0.000
195805.800,217885.800,735412.200,363829.700,735368.900,182636.800,735729.900,193796.000,0.000
195527.100,217526.100,734167.800,362858.300,734125.400,182354.900,734488.200,193561.900,0.000
194873.500,216911.700,732980.200,361715.000,732937.800,181816.500,733294.900,192954.800,0.000
194302.800,216401.900,731862.300,360686.900,731819.300,181361.000,732167.100,192374.500,0.000
194165.400,216230.300,730816.400,359950.900,730773.900,181228.900,731121.100,192194.100,0.000
194245.000,216188.800,729824.600,359345.900,729782.600,181235.700,730137.900,192265.600,0.000
194063.800,215928.900,728874.100,358592.800,728832.100,181034.200,729190.100,192121.200,0.000
193493.300,215397.900,727959.900,357648.100,727917.600,180567.200,728268.700,191595.600,0.000
192986.800,214959.000,727102.600,356798.300,727060.400,180176.000,727398.100,191081.100,0.000
192910.700,214860.300,726303.700,356230.600,726261.500,180097.000,726598.000,190958.300,0.000
193056.600,214893.500,725549.200,355794.100,725507.100,180163.000,725855.600,191098.000,0.000
192924.400,214689.800,724822.300,355192.400,724780.200,180012.700,725132.800,191011.400,0.000
192409.900,214223.300,724122.100,354394.300,724080.100,179601.000,724423.200,190539.900,0.000
191965.200,213852.100,723464.300,353685.000,723422.200,179258.400,723741.900,190078.900,0.000
191935.200,213801.500,722859.100,353249.600,722816.800,179222.500,723134.300,190006.600,0.000
192120.800,213880.400,722286.300,352936.900,722244.400,179328.800,722583.600,190188.500,0.000
192048.100,213738.900,721735.100,352462.300,721693.700,179231.000,722039.700,190154.600,0.000
