EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
278098.100,304694.900,750000.100,750000.100,260274.800,539399.300,255365.400,296548.900,0.000
269844.000,296405.400,750000.100,750000.100,252649.900,524599.300,247820.400,287705.500,0.000
261840.500,287698.300,750000.100,750000.100,244106.500,510487.900,240744.100,277532.900,0.000
256124.900,280644.600,750000.100,750000.100,237704.000,498847.500,235517.800,270152.400,0.000
252814.000,276614.800,750000.100,750000.100,235136.300,490575.600,232155.200,267762.700,0.000
248898.000,272858.800,750000.100,750000.100,232441.900,482892.800,228468.500,265005.300,0.000
244236.500,268244.700,750000.100,750000.100,228097.100,474712.500,224218.300,259933.300,0.000
239223.800,262709.100,750000.100,750000.100,222428.800,466141.500,219865.700,253075.400,0.000
235857.800,258242.000,750000.100,750000.100,218319.300,459050.900,216808.400,248310.500,0.000
234403.700,256269.600,750000.100,750000.100,217484.400,454501.000,215191.800,247844.000,0.000
232152.800,254309.600,750000.100,750000.100,216322.300,450040.000,213049.800,246800.600,0.000
228980.800,251302.500,750000.100,750000.100,213408.200,444712.400,210181.500,243364.700,0.000
225317.800,247258.900,750000.100,750000.100,209093.500,438708.900,207066.400,238072.200,0.000
223064.500,244068.900,750000.100,750000.100,206104.700,433829.800,205031.300,234582.400,0.000
222528.900,243125.900,750000.100,750000.100,206121.800,431154.100,204276.400,235056.200,0.000
221124.800,242066.600,750000.100,750000.100,205727.400,428367.000,202920.400,234878.300,0.000
218777.600,239951.600,750000.100,745667.400,203606.200,424617.000,200806.400,232350.100,0.000
215881.100,236767.500,750000.100,721089.900,200076.400,420089.500,198390.100,227964.700,0.000
214281.600,234330.300,750000.100,699489.500,197749.000,416518.300,196963.900,225230.300,0.000
214274.900,233983.300,750000.100,681882.800,198251.400,414946.900,196709.200,226235.700,0.000
213396.200,233490.500,750000.100,664850.000,198330.600,413190.600,195837.700,226581.000,0.000
211561.800,231918.200,735421.300,647379.900,196699.000,410418.900,194193.000,224612.100,0.000
209156.600,229271.800,717260.700,629818.200,193657.900,406811.700,192218.000,220793.000,0.000
207978.800,227324.700,700881.300,614518.300,191758.000,404079.200,191177.900,218542.900,0.000
208320.600,227378.000,687069.500,602558.200,192583.700,403240.600,191250.400,219898.800,0.000
207794.200,227266.400,673519.600,590696.200,192977.600,402174.400,190706.100,220588.600,0.000
206315.100,226072.700,659574.600,577975.200,191670.200,400061.000,189379.100,218991.100,0.000
204272.900,223827.900,645448.100,564801.000,189003.000,397118.500,187728.700,215604.000,0.000
203380.100,222211.200,632755.800,553459.500,187392.600,394961.300,186948.300,213679.800,0.000
203959.300,222539.700,622327.500,545083.100,188429.500,394621.800,187239.300,215263.100,0.000
203682.900,222701.300,611943.500,536545.900,189049.600,394043.300,186925.400,216207.400,0.000
202449.600,221787.200,600958.300,526917.400,187995.100,392415.100,185832.700,214898.200,0.000
200634.200,219800.000,589583.100,516589.300,185556.900,389917.300,184389.600,211773.900,0.000
199942.900,218417.500,579448.100,507869.100,184151.400,388171.000,183791.800,210078.500,0.000
200686.800,218923.800,571383.100,501883.300,185334.400,388181.700,184239.700,211822.200,0.000
200590.000,219274.100,563231.800,495583.400,186110.900,387947.400,184091.100,212937.100,0.000
199541.600,218561.000,554358.800,488058.600,185235.500,386665.500,183167.900,211827.000,0.000
197900.000,216767.600,544969.400,479697.100,182973.500,384497.900,181883.800,208907.400,0.000
197363.300,215569.000,536696.500,472798.100,181726.500,383059.800,181435.000,207392.300,0.000
198238.200,216228.200,530361.300,468485.500,183028.300,383343.500,182006.300,209262.200,0.000
198269.200,216715.000,523839.300,463761.300,183917.000,383365.600,181978.000,210504.600,0.000
197357.800,216144.600,516515.300,457729.300,183168.600,382338.500,181177.800,209540.700,0.000
195851.300,214499.000,508592.400,450769.900,181041.500,380421.300,180010.800,206773.000,0.000
195417.800,213425.700,501687.700,445162.400,179899.500,379205.400,179656.800,205374.300,0.000
196391.300,214197.000,496646.200,442057.700,181287.400,379693.900,180319.800,207335.700,0.000
196529.200,214799.700,491359.400,438478.800,182274.400,379920.100,180388.700,208681.800,0.000
195722.500,214349.500,485218.800,433539.300,181634.200,379097.300,179686.600,207837.500,0.000
194313.800,212819.000,478416.400,427612.400,179610.000,377374.700,178607.800,205189.300,0.000
193966.700,211842.500,472563.100,422963.800,178548.300,376326.300,178322.800,203880.900,0.000
195009.400,212688.200,468508.800,420749.600,179996.900,376963.900,179047.300,205908.000,0.000
195226.000,213364.500,464168.800,418018.900,181045.400,377333.100,179183.500,207323.400,0.000
194495.600,212990.500,458928.100,413885.300,180469.600,376648.400,178548.200,206556.300,0.000
193171.400,211557.600,453000.100,408742.000,178533.500,375079.200,177544.300,204008.200,0.000
192890.700,210659.800,447971.200,404820.100,177541.600,374163.400,177326.500,202775.400,0.000
193983.100,211572.100,444690.300,403277.400,179038.200,374912.000,178104.400,204847.800,0.000
194243.200,212309.500,441086.800,401188.900,180139.200,375394.300,178288.400,206313.000,0.000
193571.800,212008.600,436562.100,397678.700,179628.800,374830.800,177707.400,205610.900,0.000
192298.400,210633.100,431313.700,393117.400,177746.400,373365.400,176748.800,203121.800,0.000
192066.600,209795.900,426935.100,389746.800,176802.500,372549.400,176574.800,201940.300,0.000
193208.900,210761.000,424274.700,388731.500,178340.400,373393.400,177397.600,204059.500,0.000
193521.100,211546.000,421265.800,387147.100,179480.800,373961.300,177626.700,205573.400,0.000
192891.300,211284.700,417308.700,384116.800,179008.800,373477.500,177085.200,204919.500,0.000
191665.500,209960.500,412610.200,380021.300,177173.400,372097.000,176169.200,202486.300,0.000
