EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
609161.300,568281.600,750000.100,750000.100,609468.200,506789.600,482252.800,537230.600,0.000
510167.800,478850.900,750000.100,750000.100,513003.700,428236.000,406690.100,452246.700,0.000
433210.700,407418.100,750000.100,750000.100,436260.700,364744.500,346620.100,385591.800,0.000
386232.000,361271.600,750000.100,750000.100,388209.000,322732.800,307115.000,342995.800,0.000
367371.900,342681.700,750000.100,750000.100,369324.300,305729.200,290924.000,325426.500,0.000
353015.800,329896.500,750000.100,750000.100,355609.300,294595.600,280012.000,312880.000,0.000
338152.200,317827.400,750000.100,715096.600,341774.200,284684.700,270229.500,301209.800,0.000
327471.400,308153.000,750000.100,672415.500,331043.800,276341.200,262438.600,292590.000,0.000
321270.000,300717.800,750000.100,636643.600,323956.900,269115.100,255954.700,286166.700,0.000
314478.600,293481.600,750000.100,604557.900,316935.100,262274.400,249474.300,279210.300,0.000
305965.800,286017.200,750000.100,575336.800,308804.400,255814.300,243066.100,271660.500,0.000
296249.700,278518.200,750000.100,548923.400,299865.700,249814.500,237061.500,264229.500,0.000
289660.200,272640.100,726326.300,526661.100,293152.600,244788.100,232421.500,259061.100,0.000
286621.400,268325.800,692067.100,507669.700,289253.000,240378.000,228585.800,255481.100,0.000
282672.400,263813.500,660414.000,489686.000,285032.500,235976.900,224427.200,251082.300,0.000
276906.100,258852.500,630848.400,472530.500,279574.100,231702.600,220133.300,245927.200,0.000
269808.600,253656.000,603412.600,456507.500,273160.100,227681.500,216042.100,240695.800,0.000
265329.600,249729.300,579555.200,443077.100,268556.000,224360.500,213017.500,237336.000,0.000
263924.800,247062.700,558781.500,431672.400,266357.500,221452.800,210588.800,235282.000,0.000
261586.900,244120.800,539037.200,420426.400,263771.000,218462.000,207777.300,232381.200,0.000
257405.200,240608.400,519995.900,409231.800,259877.000,215456.300,204704.800,228633.400,0.000
251824.200,236735.300,501875.000,398481.700,254944.900,212573.300,201704.700,224677.400,0.000
248586.100,233971.500,486229.100,389667.000,251613.200,210278.400,199639.400,222388.200,0.000
248162.800,232320.600,472728.300,382334.100,250464.900,208298.100,198068.800,221260.400,0.000
246802.900,230339.200,459555.500,374797.100,248889.900,206183.900,196090.900,219282.500,0.000
243648.400,227766.200,446476.600,366989.200,246025.700,204000.300,193814.100,216445.800,0.000
239097.200,224786.600,433759.800,359317.400,242109.500,201880.700,191555.400,213349.100,0.000
236640.300,222744.700,422885.900,353178.500,239578.900,200215.000,190081.700,211722.100,0.000
236869.000,221762.800,413717.200,348286.300,239132.300,198854.200,189087.800,211210.700,0.000
236150.300,220402.000,404502.700,342985.700,238220.300,197315.400,187650.200,209831.500,0.000
233644.500,218408.200,395041.500,337226.300,235990.400,195647.100,185871.500,207569.400,0.000
229777.100,216013.600,385675.700,331462.600,232731.700,194029.200,184103.400,205044.500,0.000
227905.500,214515.900,377864.400,327064.300,230787.900,192847.300,183086.800,203923.900,0.000
228555.700,213971.100,371436.800,323707.500,230780.200,191893.600,182469.000,203814.100,0.000
228279.500,213044.700,364774.900,319857.400,230312.900,190750.300,181411.600,202855.300,0.000
226261.200,211489.800,357702.000,315473.300,228558.500,189472.900,180011.500,201025.200,0.000
222888.800,209521.000,350541.600,310978.600,225770.000,188215.800,178587.200,198903.700,0.000
221400.700,208382.000,344724.000,307711.400,224221.400,187356.700,177867.500,198115.400,0.000
222358.600,208160.000,340127.700,305394.900,224547.300,186707.400,177529.900,198300.300,0.000
222399.100,207546.600,335174.600,302527.800,224399.900,185849.700,176746.100,197639.100,0.000
220715.300,206293.300,329703.300,299069.300,222974.200,184837.600,175604.700,196102.300,0.000
217688.800,204622.300,324045.600,295447.700,220523.900,183832.300,174424.900,194262.200,0.000
216481.800,203747.500,319611.000,292981.000,219270.800,183211.800,173931.100,193721.100,0.000
217664.700,203763.400,316291.500,291393.500,219840.800,182784.900,173801.700,194127.000,0.000
217946.300,203388.900,312547.700,289230.600,219949.300,182148.000,173228.500,193699.400,0.000
216532.800,202384.500,308220.600,286447.100,218794.200,181348.100,172291.100,192397.600,0.000
213771.700,200941.100,303632.600,283454.200,216607.500,180537.500,171299.600,190778.900,0.000
212760.300,200251.200,300165.400,281542.500,215553.200,180080.100,170956.800,190406.400,0.000
214081.700,200413.300,297733.200,280459.500,216276.700,179793.200,170957.100,190950.400,0.000
214535.900,200207.600,294854.500,278800.800,216561.300,179306.700,170524.200,190683.000,0.000
213317.500,199378.700,291361.300,276511.200,215596.800,178664.900,169736.900,189558.400,0.000
210769.000,198113.600,287566.800,273991.400,213606.300,178010.700,168896.000,188115.500,0.000
209923.900,197578.700,284827.000,272500.300,212715.700,177688.600,168680.900,187878.300,0.000
211396.600,197896.600,283089.200,271824.200,213590.800,177538.800,168809.900,188559.600,0.000
211982.100,197816.900,280848.200,270533.700,214002.300,177166.700,168486.500,188409.900,0.000
210907.500,197115.000,277962.700,268597.600,213176.500,176629.900,167804.300,187403.500,0.000
208489.800,195961.600,274733.300,266402.100,211311.900,176065.900,167051.000,186060.000,0.000
207756.000,195534.800,272531.400,265222.500,210540.100,175844.200,166930.200,185925.000,0.000
209310.300,195944.200,271293.800,264837.000,211513.100,175792.500,167146.500,186695.500,0.000
210002.200,195966.900,269539.800,263834.900,212030.500,175512.900,166913.300,186645.900,0.000
209050.700,195373.000,267129.300,262185.200,211325.700,175075.500,166331.500,185752.300,0.000
