EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,750000.100,750000.100,750000.100,662398.800,750000.100,750000.100,0.000
713213.600,750000.100,750000.100,750000.100,750000.100,567517.400,750000.100,750000.100,0.000
629266.800,703506.300,750000.100,750000.100,750000.100,504763.700,750000.100,750000.100,0.000
593169.200,663171.600,750000.100,750000.100,750000.100,478638.000,750000.100,750000.100,0.000
565928.400,636408.800,750000.100,750000.100,750000.100,460065.300,750000.100,750000.100,0.000
537932.400,610336.700,750000.100,750000.100,750000.100,441380.200,750000.100,750000.100,0.000
518571.700,591602.300,750000.100,750000.100,750000.100,428971.300,750000.100,750000.100,0.000
510888.400,581362.600,750000.100,750000.100,750000.100,423813.100,750000.100,750000.100,0.000
500656.800,569112.200,750000.100,750000.100,750000.100,416231.900,750000.100,750000.100,0.000
482787.500,551546.800,750000.100,750000.100,750000.100,403367.700,750000.100,750000.100,0.000
463138.700,533470.900,750000.100,750000.100,750000.100,389802.700,750000.100,750000.100,0.000
450343.600,521133.000,750000.100,750000.100,750000.100,381385.100,750000.100,750000.100,0.000
447379.800,515796.700,750000.100,750000.100,750000.100,379119.100,750000.100,750000.100,0.000
441744.500,508268.800,750000.100,750000.100,750000.100,374505.500,750000.100,750000.100,0.000
428822.300,495564.600,750000.100,750000.100,750000.100,364910.500,750000.100,750000.100,0.000
413797.100,481939.700,750000.100,750000.100,750000.100,354403.900,750000.100,750000.100,0.000
404682.700,473223.500,750000.100,750000.100,750000.100,348405.700,750000.100,750000.100,0.000
404366.900,470703.200,750000.100,750000.100,750000.100,347926.400,750000.100,750000.100,0.000
401380.800,465945.800,750000.100,750000.100,750000.100,345158.600,750000.100,750000.100,0.000
391423.700,456187.800,750000.100,750000.100,750000.100,337642.400,750000.100,750000.100,0.000
379298.100,445382.600,750000.100,750000.100,750000.100,329140.900,750000.100,750000.100,0.000
372495.900,438975.500,750000.100,750000.100,750000.100,324723.100,750000.100,740593.200,0.000
373836.000,438255.600,750000.100,750000.100,750000.100,325410.800,750000.100,738826.800,0.000
372517.000,435278.200,750000.100,750000.100,750000.100,323841.400,750000.100,735440.400,0.000
364497.500,427468.100,750000.100,750000.100,750000.100,317716.800,750000.100,726083.300,0.000
354256.900,418512.900,750000.100,750000.100,750000.100,310555.000,750000.100,714365.400,0.000
349008.200,413665.300,750000.100,750000.100,750000.100,307231.700,750000.100,707007.800,0.000
351423.400,414128.600,750000.100,750000.100,750000.100,308697.200,750000.100,707012.800,0.000
351226.800,412366.000,750000.100,750000.100,750000.100,307959.400,750000.100,705358.100,0.000
344500.700,405870.000,750000.100,750000.100,750000.100,302787.600,750000.100,697854.500,0.000
335562.700,398204.400,750000.100,750000.100,750000.100,296569.800,750000.100,687976.100,0.000
331336.700,394399.700,750000.100,750000.100,750000.100,293975.800,750000.100,682170.700,0.000
334461.100,395662.600,750000.100,750000.100,750000.100,295964.800,750000.100,683385.200,0.000
335039.300,394753.700,750000.100,750000.100,750000.100,295810.400,750000.100,682940.600,0.000
329228.000,389199.200,750000.100,750000.100,750000.100,291327.700,750000.100,676753.000,0.000
321250.300,382483.100,750000.100,750000.100,750000.100,285822.800,750000.100,668217.900,0.000
317785.000,379452.700,750000.100,750000.100,750000.100,283791.200,750000.100,663552.400,0.000
321431.900,381306.800,750000.100,750000.100,750000.100,286168.600,750000.100,665639.900,0.000
322565.100,381003.900,750000.100,750000.100,750000.100,286443.100,750000.100,666067.700,0.000
317442.400,376152.800,750000.100,750000.100,750000.100,282476.200,750000.100,660847.900,0.000
310133.700,370112.100,750000.100,750000.100,750000.100,277471.500,750000.100,653268.800,0.000
307230.800,367665.900,750000.100,750000.100,750000.100,275854.900,750000.100,649445.700,0.000
311251.800,369949.200,750000.100,750000.100,750000.100,278521.300,750000.100,652180.800,0.000
312796.300,370101.000,750000.100,750000.100,750000.100,279108.500,750000.100,653250.100,0.000
308155.800,365748.500,750000.100,750000.100,750000.100,275520.200,748679.600,648741.400,0.000
301345.700,360215.300,750000.100,750000.100,750000.100,270897.100,741912.200,641874.900,0.000
298820.800,358165.300,748267.600,748766.300,748163.600,269569.700,738768.200,638649.100,0.000
303132.400,360771.600,746636.100,747134.000,746540.300,272456.100,740800.300,641863.400,0.000
304985.300,361260.800,744751.900,745248.800,744661.000,273276.200,741000.300,643401.900,0.000
300726.800,357303.000,742554.600,743050.500,742460.100,269976.700,736375.900,639425.100,0.000
294300.900,352157.600,740450.500,740945.900,740349.400,265650.500,730318.100,633102.900,0.000
292095.900,350436.400,738853.300,739347.900,738751.200,264562.300,727751.000,630349.300,0.000
296616.400,353280.500,737706.200,738200.200,737612.200,267592.300,730118.200,633902.500,0.000
298701.700,354022.500,736291.400,736784.700,736202.100,268585.400,730693.500,635797.600,0.000
294738.300,350371.800,734544.700,735036.600,734451.400,265513.700,726602.600,632232.100,0.000
