sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1782503664.808779,34026.437811,191809.625,195185.453125,446434.625,534649.0,195077.90625,203833.96875,190982.171875,234763.421875
1782503664.8090005,34026.4378983,191791.921875,195168.015625,446399.0625,534618.4375,195046.515625,203809.03125,190958.65625,234719.796875
1782503664.8090851,34026.438068,191787.359375,195164.171875,446362.46875,534607.0625,195023.8125,203787.484375,190944.703125,234667.671875
1782503664.8095021,34026.4381038,191797.28125,195171.953125,446359.71875,534620.0625,195029.4375,203787.921875,190952.75,234670.0
1782503664.8106575,34026.4381395,191817.671875,195187.515625,446404.15625,534654.5625,195068.25,203822.703125,190984.125,234734.71875
1782503664.8107095,34026.4381634,191824.203125,195196.09375,446439.71875,534661.625,195090.859375,203847.375,191000.046875,234778.53125
1782503664.8107338,34026.4381812,191832.78125,195209.234375,446429.4375,534658.125,195087.46875,203845.59375,191005.046875,234760.296875
1782503664.8107548,34026.4381976,191842.796875,195218.625,446407.375,534659.3125,195081.46875,203835.9375,191006.484375,234727.21875
1782503664.8107748,34026.4382127,191852.984375,195222.296875,446405.75,534675.5,195086.390625,203838.53125,191014.984375,234733.828125
1782503664.810795,34026.4382261,191851.921875,195222.296875,446431.25,534686.1875,195105.34375,203856.5,191025.4375,234779.25
1782503664.8108158,34026.4382424,191848.34375,195219.078125,446456.71875,534681.1875,195116.171875,203869.015625,191029.375,234810.359375
1782503664.8393757,34026.4680428,191842.796875,195213.34375,446431.9375,534665.0,195096.40625,203854.265625,191018.46875,234776.828125
1782503664.8397434,34026.4682069,191830.640625,195203.25,446385.8125,534646.4375,195065.5625,203823.25,190994.140625,234715.765625
1782503664.8398871,34026.4683374,191831.625,195205.125,446374.90625,534649.375,195062.25,203817.34375,190992.171875,234709.328125
1782503664.8401787,34026.468531,191845.5625,195218.453125,446418.375,534673.9375,195097.75,203848.28125,191015.421875,234768.515625
1782503664.8402483,34026.4687394,191846.640625,195223.625,446449.46875,534676.9375,195115.359375,203868.390625,191023.921875,234803.484375
1782503664.840359,34026.4688185,191849.765625,195225.953125,446434.53125,534667.25,195105.078125,203865.71875,191019.71875,234779.6875
1782503664.8406796,34026.4689447,191851.296875,195223.625,446404.59375,534660.0,195085.046875,203847.109375,191008.453125,234734.640625
1782503664.8409152,34026.4689864,191847.984375,195215.046875,446389.03125,534657.125,195075.390625,203831.734375,191002.109375,234720.6875
1782503664.8410342,34026.4690198,191851.109375,195216.84375,446419.25,534671.75,195099.984375,203848.8125,191015.6875,234767.0
1782503664.8411005,34026.469066,191847.796875,195212.015625,446447.3125,534673.3125,195114.46875,203863.65625,191018.828125,234800.4375
1782503664.841392,34026.4691181,191838.421875,195204.59375,446420.78125,534651.0,195091.9375,203846.046875,191006.484375,234763.609375
1782503664.8416011,34026.4691516,191834.03125,195203.609375,446390.65625,534637.3125,195073.875,203831.46875,191002.28125,234716.9375
1782503664.8416798,34026.469184,191837.609375,195210.3125,446381.4375,534645.625,195076.5625,203829.765625,191013.640625,234711.5625
1782503664.8419816,34026.4692184,191846.015625,195220.234375,446415.59375,534668.125,195102.484375,203851.40625,191029.8125,234761.015625
1782503664.8420632,34026.46924,191825.265625,195201.375,446424.15625,534645.8125,195095.59375,203845.328125,191012.296875,234773.25
1782503664.8420942,34026.4692595,191806.765625,195182.6875,446389.46875,534611.625,195062.078125,203816.71875,190980.46875,234724.53125
1782503664.8421192,34026.4692785,191805.0625,195173.921875,446353.90625,534603.5,195038.5625,203790.609375,190958.03125,234672.234375
1782503664.8421874,34026.4692983,191810.34375,195175.796875,446346.125,534611.8125,195036.6875,203784.265625,190957.578125,234667.9375
1782503664.8423314,34026.4693233,191813.03125,195176.6875,446375.25,534625.875,195056.4375,203802.234375,190969.203125,234713.0
